timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
998841600000,40631800,4.4644,4.8874,4.2496,4.5989,0.5381,13.25,56.83,1410347179.0,,
998928000000,12964779,4.5265,4.7865,4.4773,4.7684,0.1692,3.68,18.13,463463143.0,,
999014400000,5325275,4.7839,4.7865,4.67,4.7063,-0.062,-1.3,7.45,194689620.0,,
999100800000,4801306,4.6933,4.8524,4.6571,4.7994,0.0932,1.98,6.72,177558558.0,,
999187200000,2323148,4.8059,4.8667,4.7606,4.7878,-0.0115,-0.24,3.25,86231237.0,,
999446400000,2211209,4.8123,4.8602,4.7671,4.7852,-0.0144,-0.3,3.09,82129438.0,,
999532800000,3700677,4.7878,4.9262,4.7709,4.846,0.0608,1.27,5.18,139204380.0,,
999619200000,2606695,4.8654,4.9055,4.8136,4.8434,-0.0024,-0.05,3.65,97796243.0,,
999705600000,2899703,4.8318,4.8473,4.7231,4.7477,-0.0959,-1.98,4.06,107078403.0,,
999792000000,3155225,4.7218,4.78,4.6118,4.6157,-0.132,-2.78,4.41,113868743.0,,
1000051200000,1887889,4.5795,4.7671,4.529,4.7477,0.132,2.86,2.64,68406471.0,,
1000137600000,1139081,4.7606,4.78,4.683,4.6946,-0.0532,-1.12,1.59,41579698.0,,
1000224000000,2504519,4.5704,4.683,4.5666,4.6545,-0.0399,-0.85,3.5,89421380.0,,
1000310400000,1098668,4.6584,4.6959,4.6183,4.6429,-0.0116,-0.25,1.54,39512775.0,,
1000396800000,767283,4.6584,4.7218,4.6312,4.6959,0.0529,1.14,1.07,27740691.0,,
1000656000000,898397,4.6675,4.6946,4.5924,4.6364,-0.0596,-1.27,1.26,32183249.0,,
1000742400000,1077326,4.6416,4.7283,4.6377,4.6894,0.0529,1.14,1.51,39006062.0,,
1000828800000,865053,4.6959,4.7761,4.6649,4.7761,0.0868,1.85,1.21,31597369.0,,
1000915200000,1117335,4.7735,4.7929,4.7218,4.736,-0.0401,-0.84,1.56,41189577.0,,
1001001600000,787972,4.6933,4.7347,4.6571,4.6649,-0.1113,-2.33,1.1,28638681.0,,
1001260800000,406860,4.6649,4.7076,4.6571,4.6636,-0.0014,-0.03,0.57,14703096.0,,
1001347200000,348845,4.6933,4.727,4.6636,4.6869,0.0233,0.5,0.49,12639790.0,,
1001433600000,495626,4.6713,4.7192,4.6571,4.6675,-0.0192,-0.41,0.69,17892565.0,,
1001520000000,877804,4.6675,4.7839,4.6571,4.7477,0.0803,1.72,1.23,32085131.0,,
1001606400000,1708847,4.7735,4.8123,4.7218,4.7981,0.0503,1.06,2.39,63169143.0,,
1002470400000,655217,4.7865,4.8098,4.6894,4.7321,-0.0662,-1.38,0.92,24091149.0,,
1002556800000,955852,4.7347,4.8512,4.7347,4.8253,0.0932,1.97,1.34,35498605.0,,
1002643200000,1754869,4.8253,4.8421,4.661,4.67,-0.1554,-3.22,2.45,63956753.0,,
1002729600000,1230684,4.6584,4.7218,4.6118,4.6248,-0.0453,-0.97,1.72,44319896.0,,
1002816000000,2001070,4.6442,4.7412,4.4048,4.6571,0.0324,0.7,2.8,70897331.0,,
1003075200000,975531,4.6442,4.6571,4.5148,4.5666,-0.0903,-1.94,1.36,34501714.0,,
1003161600000,831991,4.5446,4.6312,4.4954,4.5019,-0.0648,-1.42,1.16,29068173.0,,
1003248000000,1250768,4.5006,4.5032,4.3854,4.4243,-0.0774,-1.72,1.75,42766283.0,,
1003334400000,498346,4.4243,4.4838,4.3867,4.4036,-0.0208,-0.47,0.7,16999063.0,,
1003420800000,1568754,4.3984,4.4178,4.2703,4.3337,-0.07,-1.59,2.19,52422843.0,,
1003680000000,976065,4.3078,4.3596,4.2302,4.2418,-0.0919,-2.12,1.37,32268911.0,,
1003766400000,4059824,4.6571,4.6662,4.529,4.6662,0.4242,10.0,5.68,145710538.0,,
1003852800000,4068239,4.758,4.7606,4.542,4.639,-0.0271,-0.58,5.69,147001102.0,,
1003939200000,1603686,4.6183,4.6312,4.5096,4.5122,-0.1266,-2.73,2.24,56527283.0,,
1004025600000,900220,4.4889,4.5407,4.4527,4.5277,0.0153,0.34,1.26,31280145.0,,
1004284800000,458786,4.5122,4.6092,4.5122,4.5666,0.0389,0.86,0.64,16205054.0,,
1004371200000,348417,4.5601,4.5911,4.5174,4.5277,-0.0388,-0.85,0.49,12214728.0,,
1004457600000,476247,4.5277,4.5394,4.5019,4.5342,0.0063,0.14,0.67,16633345.0,,
1004544000000,664303,4.5342,4.6105,4.5213,4.6015,0.0671,1.48,0.93,23511580.0,,
1004630400000,343520,4.564,4.6209,4.5484,4.5743,-0.0271,-0.59,0.48,12189356.0,,
1004889600000,369076,4.5277,4.5614,4.4889,4.5148,-0.0595,-1.3,0.52,12879737.0,,
1004976000000,260931,4.5019,4.5666,4.4915,4.5471,0.0325,0.72,0.36,9138666.0,,
1005062400000,932500,4.5277,4.5277,4.3725,4.379,-0.1682,-3.7,1.3,31791131.0,,
1005148800000,740216,4.3143,4.3842,4.2664,4.3596,-0.0193,-0.44,1.04,24682905.0,,
1005235200000,376076,4.3596,4.4605,4.313,4.4178,0.0584,1.34,0.53,12737203.0,,
1005494400000,268333,4.4501,4.4501,4.3363,4.3466,-0.0711,-1.61,0.38,9088858.0,,
1005580800000,267381,4.3052,4.3596,4.2962,4.3518,0.0052,0.12,0.37,8965279.0,,
1005667200000,76900,4.3518,4.3984,4.3518,4.3531,0.0013,0.03,0.11,2599260.0,,
